X,Y,Class,NEA
398566.372179529,-72819.1077095967,"7",
383282.291588946,-82212.4489058926,"7",
379188.341430754,-96404.8094542913,"7",
385283.778332951,-99134.1095597526,"7",
391106.285224602,-98042.3895175681,"7",
396200.978754796,-91674.0226048251,"7",
400476.882253352,-86397.3757342666,"7",
403843.019050088,-82485.3789164387,"7",
377823.691378023,-103319.036388127,"7",
385283.778332951,-108504.706588503,"7",
391561.168575512,-108413.729918321,"7",
396928.792116252,-105138.569791767,"7",
400294.928912988,-98497.2728684783,"7",
407936.969208279,-91492.069264461,"7",
412849.70939811,-93948.4393593761,"7",
414942.172812297,-101135.596303758,"7",
415397.056163207,-107140.056535772,"7",
408391.85255919,-110142.28665178,"7",
400931.765604262,-114873.073501246,"7",
393198.748638788,-121150.463743807,"7",
404570.832411544,-122060.230445627,"7",
417034.636226484,-112780.610087059,"7",
394063.027005518,-128519.574028553,"7",
405298.645773,-133250.360878019,"7",
409165.154255737,-129156.410719827,"7",
416443.287870301,-130339.107432193,"7",
419127.099640671,-135115.382616751,"7",
387421.730082229,-133841.709234202,"7",
387194.288406774,-139527.75112058,"7",
390560.425203509,-147442.721426418,"7",
397201.722126798,-145441.234682413,"7",
397747.582147891,-132886.454197291,"7",
403206.182358813,-138708.961088941,"7",
414259.847785932,-137526.264376575,"7",
414714.731136842,-142757.422912042,"7",
403661.065709724,-150899.834893335,"7",
413532.034424475,-150717.881552971,"7",
417625.984582667,-159974.757743994,"7",
373229.36953383,-138731.705256487,"7",
365359.887563083,-144645.18881832,"7",
367133.932631633,-153606.390831251,"7",
371000.44111437,-158883.037701809,"7",
378187.598058751,-154015.78584707,"7",
381963.129871306,-150422.207374879,"7",
383282.291588946,-160111.222749267,"7",
388649.915129686,-174212.606627484,"7",
392561.911947514,-170846.469830748,"7",
399294.185540985,-171210.376511476,"7",
403297.159028995,-170209.633139474,"7",
403479.112369359,-164296.149577641,"7",
393448.934481789,-179830.416011225,"7",
399589.859719077,-178443.021790949,"7",
414805.707807024,-166252.147986555,"7",
411894.454361198,-171119.399841294,"7",
411212.129334833,-183264.785310597,"7",
418854.169630124,-185539.202065148,"7",
406981.714171368,-185903.108745876,"7",
412212.872706835,-194136.497397351,"7",
419581.982991581,-195683.100790446,"7",
405253.157437909,-197548.122529178,"7",
396837.81544607,-185675.667070421,"7",
405071.204097545,-202096.95603828,"7",
392971.306963333,-197957.517544997,"7",
384601.453306585,-194864.310758807,"7",
387922.10176823,-190133.523909341,"7",
386057.080029498,-183674.180326416,"7",
382827.408238035,-178306.556785675,"7",
377141.366351658,-184993.342044056,"7",
375276.344612926,-175804.698355669,"7",
365450.864233265,-181763.670252593,"7",
361402.402410164,-174440.048302939,"7",
364131.702515625,-169026.936427107,"7",
374048.159565468,-167571.309704194,"7",
377914.668048205,-168617.541411288,"7",
419741.192164399,-201733.049357552,"7",
378187.598058751,-291254.092816682,"2",
359082.497320522,-212456.92435526,"3",
363199.191646259,-251576.892533538,"3",
334996.423889826,-229196.631668756,"4",
358764.078974884,-233677.232675221,"4",
343798.416729938,-257854.282776099,"4",
375981.413806836,-256796.678985233,"4",
410256.874297921,-214822.317779993,"4",
406947.597920049,-265007.323469162,"4",
355727.732607558,-184993.342044055,"5",
372035.30073769,-194181.985732441,"5",
343025.115033391,-197258.134392972,"5",
386961.160689431,-211586.959946644,"5",
393067.969675401,-233449.790999766,"5",
404747.099710021,-247175.896113482,"5",
371404.150088302,-234461.906455541,"5",
343929.195693325,-245458.711463795,"5",
417603.240415121,-260560.838714015,"5",
353328.222931507,-280336.892394836,"5",
369425.407511842,-273274.828371955,"5",
386034.335861952,-276942.325388669,"5",
405560.203699772,-285374.725506167,"5",
357484.719550449,-201062.096414958,"6",
369283.256464683,-203029.466907645,"6",
374565.589377128,-219211.942116276,"6",
388735.205757981,-221418.12636819,"6",
344520.544049508,-214776.829444901,"6",
398196.779456913,-211456.180983256,"6",
412434.628340403,-201585.212268505,"6",
414572.580089681,-227922.958286206,"6",
401972.311269468,-231607.513428579,"6",
406885.051459298,-239340.530394053,"6",
391328.040858169,-245163.037285703,"6",
351002.631799978,-225125.425678108,"6",
355596.953644172,-255670.842691729,"6",
379438.527273753,-264956.149092184,"6",
390315.925402394,-260981.605813606,"6",
398276.384043323,-270192.993669538,"6",
400823.73080842,-295848.414660874,"6",
388541.880333844,-295939.391331056,"6",
392089.970470943,-287569.537674308,"6",
363887.20271451,-287660.51434449,"6",
366161.619469061,-283111.680835388,"6",
377988.586592727,-278062.475640285,"6",
357564.324136858,-268236.995260624,"6",
373320.346204011,-299845.702106997,"6",
359537.380671431,-180256.869152702,"7",
355943.80219924,-191492.487920184,"7",
349939.341967226,-186033.887709261,"7",
362312.169111984,-190582.721218364,"7",
364677.562536717,-196314.251439832,"7",
372774.486182918,-190036.861197271,"7",
376777.459670928,-198679.644864565,"7",
339295.071555927,-191537.976255275,"7",
347846.878553039,-191446.999585093,"7",
351940.828711231,-196541.693115287,"7",
346209.298489762,-202455.17667712,"7",
337748.468162832,-204274.710080761,"7",
335474.051408281,-198270.249848746,"7",
386693.916720771,-202910.06002803,"7",
391879.586921148,-205639.360133492,"7",
378960.899755297,-208459.636909135,"7",
372865.462853101,-213827.260449876,"7",
382054.106541487,-216647.537225519,"7",
367770.769322906,-213918.237120058,"7",
365587.329238537,-207367.916866951,"7",
353123.525423597,-206640.103505494,"7",
350485.201988318,-213281.400428783,"7",
353305.478763961,-218012.18727825,"7",
358036.265613428,-220195.627362619,"7",
363949.74917526,-219558.790671344,"7",
404525.344076452,-206640.103505494,"7",
408255.387553915,-210279.170312776,"7",
404434.367406269,-214646.050481514,"7",
415988.404519389,-219649.767341526,"7",
416989.147891391,-209369.403610956,"7",
396701.350440796,-220559.534043347,"7",
402887.764013175,-223834.6941699,"7",
388331.496784048,-227746.690987728,"7",
384510.476636402,-235297.754612838,"7",
383509.7332644,-242757.841567765,"7",
389423.216826232,-236662.404665568,"7",
396246.467089886,-237390.218027025,"7",
409801.99094701,-233478.221209197,"7",
417080.124561574,-235388.73128302,"7",
412622.267722653,-244850.304981952,"7",
399976.510567349,-241393.191515035,"7",
397429.163802252,-250217.928522693,"7",
405253.157437908,-254311.878680885,"7",
411621.524350651,-255403.598723069,"7",
417807.93792303,-252947.228628154,"7",
418717.70462485,-244577.374971406,"7",
419354.541316125,-267776.425867827,"7",
339067.629880472,-223971.159175174,"7",
345026.601777395,-223516.275824263,"7",
343980.370070302,-231203.804454646,"7",
337521.026487377,-236116.544644476,"7",
331607.542925544,-237526.683032298,"7",
358036.265613428,-227269.063469273,"7",
364518.353363898,-227974.132663183,"7",
369044.442705455,-224244.08918572,"7",
377755.458875385,-227678.458485092,"7",
376163.3671472,-235093.057104928,"7",
372342.346999554,-239277.983933302,"7",
365337.143395537,-234183.290403108,"7",
362198.448274256,-238459.193901664,"7",
353191.757926234,-238504.682236755,"7",
352327.479559504,-232955.10535565,"7",
345959.112646761,-237321.985524388,"7",
341046.372456931,-239960.308959668,"7",
348415.482741677,-247192.95423914,"7",
357149.243079153,-243235.469086221,"7",
368475.838516817,-243144.492416039,"7",
370477.325260822,-247875.279265505,"7",
369203.651878273,-253151.926136064,"7",
339863.675744564,-250832.021046422,"7",
334223.122193278,-257109.411288983,"7",
336179.120602192,-263022.894850816,"7",
342411.022509662,-264524.009908819,"7",
351827.107873503,-262022.151478813,"7",
348460.971076768,-256290.621257344,"7",
363790.540002442,-260430.059750627,"7",
348688.412752223,-269163.820088103,"7",
350462.457820772,-274622.420299026,"7",
357604.126430063,-274713.396969208,"7",
362425.889949711,-282218.972259227,"7",
365519.096735901,-277397.208739578,"7",
370386.34859064,-280535.903860859,"7",
364381.888358625,-267708.193365191,"7",
368566.815186999,-266752.938328279,"7",
376800.203838474,-270664.935146107,"7",
369885.976904639,-260566.5247559,"7",
379665.968949208,-249922.254344601,"7",
384032.849117946,-251969.229423697,"7",
384305.779128493,-258656.014682077,"7",
382804.664070489,-269573.215103923,"7",
388763.635967413,-267298.798349372,"7",
391492.936072874,-272757.398560294,"7",
392857.586125605,-278852.835462491,"7",
390856.0993816,-284174.970668141,"7",
370841.23194155,-290679.802586157,"7",
373070.16036101,-286995.247443784,"7",
375208.112110288,-283947.528992685,"7",
382486.245724852,-283128.738961047,"7",
385124.569160131,-288678.315842152,"7",
382668.199065216,-294364.357728529,"7",
375753.97213138,-295547.054440896,"7",
382167.827379214,-299413.562923633,"7",
394586.142859063,-296638.774483081,"7",
399407.906378712,-289633.570879063,"7",
